"","sample_ID","day","predict_spec","temperature","nutrients","composition","biomass","richness","tot_biomass","biom_contribution"
"1","CDLS_Tmp_18_21_Nut0.01_1",30,"D","18-21 °C","0.01 g/L","CDLS",0,4,0,NA
"2","CDLS_Tmp_18_21_Nut0.01_2",30,"D","18-21 °C","0.01 g/L","CDLS",0.000321646263079518,4,0.000321646263079518,1
"3","CDLS_Tmp_18_21_Nut0.01_3",30,"D","18-21 °C","0.01 g/L","CDLS",0,4,0,NA
"4","CDPS_Tmp_18_21_Nut0.01_1",30,"D","18-21 °C","0.01 g/L","CDPS",0,4,0,NA
"5","CDPS_Tmp_18_21_Nut0.01_2",30,"D","18-21 °C","0.01 g/L","CDPS",0,4,0.00231363714450168,0
"6","CDPS_Tmp_18_21_Nut0.01_3",30,"D","18-21 °C","0.01 g/L","CDPS",0,4,0,NA
"7","DPS_Tmp_18_21_Nut0.01_1",30,"D","18-21 °C","0.01 g/L","DPS",0,3,0,NA
"8","DPS_Tmp_18_21_Nut0.01_2",30,"D","18-21 °C","0.01 g/L","DPS",0,3,0,NA
"9","DPS_Tmp_18_21_Nut0.01_3",30,"D","18-21 °C","0.01 g/L","DPS",0,3,0,NA
"10","DP_Tmp_18_21_Nut0.01_1",30,"D","18-21 °C","0.01 g/L","DP",0,2,0,NA
"11","DP_Tmp_18_21_Nut0.01_3",30,"D","18-21 °C","0.01 g/L","DP",0,2,0,NA
"12","DS_Tmp_18_21_Nut0.01_1",30,"D","18-21 °C","0.01 g/L","DS",0,2,0,NA
"13","DS_Tmp_18_21_Nut0.01_2",30,"D","18-21 °C","0.01 g/L","DS",0,2,0,NA
"14","DS_Tmp_18_21_Nut0.01_3",30,"D","18-21 °C","0.01 g/L","DS",0,2,0,NA
"15","CDLP_Tmp_18_21_Nut0.35_1",30,"D","18-21 °C","0.35 g/L","CDLP",0.00205557681082574,4,0.00247364993783482,0.830989372985
"16","CDLP_Tmp_18_21_Nut0.35_2",30,"D","18-21 °C","0.35 g/L","CDLP",0,4,0.00189533136639339,0
"17","CDLP_Tmp_18_21_Nut0.35_3",30,"D","18-21 °C","0.35 g/L","CDLP",0.000216010929988761,4,0.00664460960037431,0.0325091981290507
"18","CDLS_Tmp_18_21_Nut0.35_1",30,"D","18-21 °C","0.35 g/L","CDLS",0.00367006670989046,4,0.00378144690954173,0.970545613275641
"19","CDLS_Tmp_18_21_Nut0.35_2",30,"D","18-21 °C","0.35 g/L","CDLS",0.00144675030540677,4,0.00526768151031686,0.274646502939344
"20","CDLS_Tmp_18_21_Nut0.35_3",30,"D","18-21 °C","0.35 g/L","CDLS",0.00219340653835135,4,0.00231583094475789,0.947135862104421
"21","CDPS_Tmp_18_21_Nut0.35_1",30,"D","18-21 °C","0.35 g/L","CDPS",0.000493259001828401,4,0.00369138247489441,0.133624463241921
"22","CDPS_Tmp_18_21_Nut0.35_2",30,"D","18-21 °C","0.35 g/L","CDPS",0,4,0.00135059525134301,0
"23","CDPS_Tmp_18_21_Nut0.35_3",30,"D","18-21 °C","0.35 g/L","CDPS",0.000696645920559375,4,0.00197488218252086,0.352753154960431
"24","CDS_Tmp_18_21_Nut0.35_1",30,"D","18-21 °C","0.35 g/L","CDS",0.00640400033477205,3,0.00876707367060329,0.730460422186845
"25","CDS_Tmp_18_21_Nut0.35_2",30,"D","18-21 °C","0.35 g/L","CDS",0.00421037695638564,3,0.00421037695638564,1
"26","CDS_Tmp_18_21_Nut0.35_3",30,"D","18-21 °C","0.35 g/L","CDS",0.0041957917992321,3,0.0041957917992321,1
"27","CD_Tmp_18_21_Nut0.35_1",30,"D","18-21 °C","0.35 g/L","CD",0.00434888300668082,2,0.00434888300668082,1
"28","CD_Tmp_18_21_Nut0.35_2",30,"D","18-21 °C","0.35 g/L","CD",0.00079432275029408,2,0.00079432275029408,1
"29","CD_Tmp_18_21_Nut0.35_3",30,"D","18-21 °C","0.35 g/L","CD",0.00137375726279293,2,0.00137375726279293,1
"30","DLS_Tmp_18_21_Nut0.35_1",30,"D","18-21 °C","0.35 g/L","DLS",0.000303710137356249,3,0.000382898379754721,0.793187313957299
"31","DLS_Tmp_18_21_Nut0.35_2",30,"D","18-21 °C","0.35 g/L","DLS",0,3,0.00245411901316245,0
"32","DLS_Tmp_18_21_Nut0.35_3",30,"D","18-21 °C","0.35 g/L","DLS",0.000638105484011833,3,0.00459447641428143,0.138885354167529
"33","DL_Tmp_18_21_Nut0.35_1",30,"D","18-21 °C","0.35 g/L","DL",0.00106900425694635,2,0.00728833730199167,0.14667326890239
"34","DL_Tmp_18_21_Nut0.35_2",30,"D","18-21 °C","0.35 g/L","DL",0.00133123515531769,2,0.00677811082079842,0.196402093520342
"35","DL_Tmp_18_21_Nut0.35_3",30,"D","18-21 °C","0.35 g/L","DL",0.00233956945480214,2,0.00546262749089802,0.428286471794094
"36","CDLS_Tmp_18_21_Nut0.75_1",30,"D","18-21 °C","0.75 g/L","CDLS",0.00362136634408082,4,0.00371482361204662,0.974842071192095
"37","CDLS_Tmp_18_21_Nut0.75_2",30,"D","18-21 °C","0.75 g/L","CDLS",0.00717606169350568,4,0.00937540419887026,0.76541358018147
"38","CDLS_Tmp_18_21_Nut0.75_3",30,"D","18-21 °C","0.75 g/L","CDLS",0.00494477119783951,4,0.00855177240750217,0.578215948953651
"39","CDPS_Tmp_18_21_Nut0.75_1",30,"D","18-21 °C","0.75 g/L","CDPS",0.00238917347448554,4,0.00318433416789556,0.750289808956977
"40","CDPS_Tmp_18_21_Nut0.75_2",30,"D","18-21 °C","0.75 g/L","CDPS",0.00253762056769401,4,0.00290705985951973,0.872916517141565
