composition,richness,temperature,nutrients,CV,mean_opt,var_opt,distance_mean_env,cv_com
CL,2,18-21 °C,0.01 g/L,3.36524561596495,18.42,0.3528,1.08,0.543123141521302
CL,2,18-21 °C,0.01 g/L,2.71416292079194,18.42,0.3528,1.08,0.543123141521302
CL,2,18-21 °C,0.01 g/L,2.27278590594176,18.42,0.3528,1.08,0.543123141521302
DS,2,18-21 °C,0.01 g/L,2.37561132769485,18.76,1.1552,0.740000000000002,0.340696811692636
DS,2,18-21 °C,0.01 g/L,2.86585430630389,18.76,1.1552,0.740000000000002,0.340696811692636
DS,2,18-21 °C,0.01 g/L,3.00389145335652,18.76,1.1552,0.740000000000002,0.340696811692636
DP,2,18-21 °C,0.01 g/L,2.73655159124308,20.26,1.0952,0.759999999999998,0.0513334553199621
DP,2,18-21 °C,0.01 g/L,1.58061749432508,20.26,1.0952,0.759999999999998,0.0513334553199621
DP,2,18-21 °C,0.01 g/L,2.43766144784612,20.26,1.0952,0.759999999999998,0.0513334553199621
CLS,3,18-21 °C,0.01 g/L,2.11300810887413,18.28,0.2352,1.22,2.78107431045164
CLS,3,18-21 °C,0.01 g/L,1.82719264352857,18.28,0.2352,1.22,2.78107431045164
CLS,3,18-21 °C,0.01 g/L,2.60591779097274,18.28,0.2352,1.22,2.78107431045164
CLP,3,18-21 °C,0.01 g/L,1.94798546295679,19.28,2.3952,0.219999999999999,0.252270734748156
CLP,3,18-21 °C,0.01 g/L,1.59824200062062,19.28,2.3952,0.219999999999999,0.252270734748156
CLP,3,18-21 °C,0.01 g/L,2.42778344166245,19.28,2.3952,0.219999999999999,0.252270734748156
DPS,3,18-21 °C,0.01 g/L,1.40243637297177,19.5066666666667,2.25013333333333,0.00666666666666771,0.113539419106126
DPS,3,18-21 °C,0.01 g/L,1.88613152179273,19.5066666666667,2.25013333333333,0.00666666666666771,0.113539419106126
DPS,3,18-21 °C,0.01 g/L,1.45071337562093,19.5066666666667,2.25013333333333,0.00666666666666771,0.113539419106126
CDLS,4,18-21 °C,0.01 g/L,3.04855432106976,18.59,0.5412,0.91,0.443881794958704
CDLS,4,18-21 °C,0.01 g/L,2.66151794021562,18.59,0.5412,0.91,0.443881794958704
CDLS,4,18-21 °C,0.01 g/L,2.0837889721686,18.59,0.5412,0.91,0.443881794958704
CLPS,4,18-21 °C,0.01 g/L,2.18502622609186,18.96,2.0064,0.539999999999999,0.70105654286987
CLPS,4,18-21 °C,0.01 g/L,1.32321340873455,18.96,2.0064,0.539999999999999,0.70105654286987
CLPS,4,18-21 °C,0.01 g/L,1.53842117068581,18.96,2.0064,0.539999999999999,0.70105654286987
CDPS,4,18-21 °C,0.01 g/L,1.70560158824518,19.34,1.6112,0.16,0.192369983030325
CDPS,4,18-21 °C,0.01 g/L,1.73780282539652,19.34,1.6112,0.16,0.192369983030325
CDPS,4,18-21 °C,0.01 g/L,1.85110472296352,19.34,1.6112,0.16,0.192369983030325
CD,2,18-21 °C,0.35 g/L,1.47443970624788,18.75,1.125,0.75,0.0124523426736252
CD,2,18-21 °C,0.35 g/L,1.97491790212446,18.75,1.125,0.75,0.0124523426736252
CD,2,18-21 °C,0.35 g/L,1.58902669511554,18.75,1.125,0.75,0.0124523426736252
DL,2,18-21 °C,0.35 g/L,1.02241543316078,18,0,1.5,0.0547764651616414
DL,2,18-21 °C,0.35 g/L,0.936730503608301,18,0,1.5,0.0547764651616414
DL,2,18-21 °C,0.35 g/L,0.92120092276159,18,0,1.5,0.0547764651616414
LP,2,18-21 °C,0.35 g/L,1.23134118521676,18,0,1.5,0.07813400850916
LP,2,18-21 °C,0.35 g/L,1.0651814280804,18,0,1.5,0.07813400850916
LP,2,18-21 °C,0.35 g/L,1.23222429816229,18,0,1.5,0.07813400850916
CDS,3,18-21 °C,0.35 g/L,1.71066369072779,18.5,0.75,1,0.0484873760196995
CDS,3,18-21 °C,0.35 g/L,1.42647248583218,18.5,0.75,1,0.0484873760196995
CDS,3,18-21 °C,0.35 g/L,1.6482151813029,18.5,0.75,1,0.0484873760196995
DLS,3,18-21 °C,0.35 g/L,1.77431999927707,18,0,1.5,0.089554929483834
DLS,3,18-21 °C,0.35 g/L,1.51025045958374,18,0,1.5,0.089554929483834
DLS,3,18-21 °C,0.35 g/L,1.44108286429539,18,0,1.5,0.089554929483834
CLP,3,18-21 °C,0.35 g/L,1.27509897804443,18.5,0.75,1,0.0570683205485294
CLP,3,18-21 °C,0.35 g/L,1.65898568397632,18.5,0.75,1,0.0570683205485294
CLP,3,18-21 °C,0.35 g/L,1.16853411493275,18.5,0.75,1,0.0570683205485294
CDPS,4,18-21 °C,0.35 g/L,1.3297315137921,18.375,0.5625,1.125,0.0430052139662136
CDPS,4,18-21 °C,0.35 g/L,1.38402129247741,18.375,0.5625,1.125,0.0430052139662136
CDPS,4,18-21 °C,0.35 g/L,0.92414100832263,18.375,0.5625,1.125,0.0430052139662136
CDLS,4,18-21 °C,0.35 g/L,1.21945236921799,18.375,0.5625,1.125,0.0702548569211905
CDLS,4,18-21 °C,0.35 g/L,1.49255742747102,18.375,0.5625,1.125,0.0702548569211905
CDLS,4,18-21 °C,0.35 g/L,1.6635381386529,18.375,0.5625,1.125,0.0702548569211905
CDLP,4,18-21 °C,0.35 g/L,1.26322831547689,18.375,0.5625,1.125,0.0407917620129247
CDLP,4,18-21 °C,0.35 g/L,1.28584093186534,18.375,0.5625,1.125,0.0407917620129247
CDLP,4,18-21 °C,0.35 g/L,0.962163102254925,18.375,0.5625,1.125,0.0407917620129247
LS,2,18-21 °C,0.75 g/L,0.763802037419037,18.22,0.0968000000000006,1.28,0.0260719254110417
LS,2,18-21 °C,0.75 g/L,0.423096151565511,18.22,0.0968000000000006,1.28,0.0260719254110417
LS,2,18-21 °C,0.75 g/L,0.50424428051167,18.22,0.0968000000000006,1.28,0.0260719254110417
DS,2,18-21 °C,0.75 g/L,1.1744446010147,18,0,1.5,0.0364536795301831
DS,2,18-21 °C,0.75 g/L,1.32573457770708,18,0,1.5,0.0364536795301831
DS,2,18-21 °C,0.75 g/L,1.28970894809792,18,0,1.5,0.0364536795301831
LP,2,18-21 °C,0.75 g/L,1.26583486613956,18.22,0.0968000000000006,1.28,0.0279808924826344
LP,2,18-21 °C,0.75 g/L,1.16662498389173,18.22,0.0968000000000006,1.28,0.0279808924826344
LP,2,18-21 °C,0.75 g/L,1.12465901778505,18.22,0.0968000000000006,1.28,0.0279808924826344
CDP,3,18-21 °C,0.75 g/L,1.36064999494727,19,3,0.5,0.0179762875893054
CDP,3,18-21 °C,0.75 g/L,1.31065305031456,19,3,0.5,0.0179762875893054
CDP,3,18-21 °C,0.75 g/L,1.19301546495481,19,3,0.5,0.0179762875893054
DLS,3,18-21 °C,0.75 g/L,1.35764645541245,18.1466666666667,0.0645333333333337,1.35333333333333,0.0286487246406532
DLS,3,18-21 °C,0.75 g/L,0.699366131334365,18.1466666666667,0.0645333333333337,1.35333333333333,0.0286487246406532
DLS,3,18-21 °C,0.75 g/L,1.19104657611447,18.1466666666667,0.0645333333333337,1.35333333333333,0.0286487246406532
CLP,3,18-21 °C,0.75 g/L,1.3142884339281,19.1466666666667,2.62453333333333,0.353333333333332,0.0104546242709033
CLP,3,18-21 °C,0.75 g/L,1.18010171345978,19.1466666666667,2.62453333333333,0.353333333333332,0.0104546242709033
CLP,3,18-21 °C,0.75 g/L,1.33790444796406,19.1466666666667,2.62453333333333,0.353333333333332,0.0104546242709033
CDPS,4,18-21 °C,0.75 g/L,1.17574949927222,18.75,2.25,0.75,0.0202339820466106
CDPS,4,18-21 °C,0.75 g/L,1.19089731540972,18.75,2.25,0.75,0.0202339820466106
CDPS,4,18-21 °C,0.75 g/L,1.28790441558038,18.75,2.25,0.75,0.0202339820466106
CDLS,4,18-21 °C,0.75 g/L,1.66847674507049,18.86,2.0784,0.640000000000001,0.0137960806102988
CDLS,4,18-21 °C,0.75 g/L,1.18349770737825,18.86,2.0784,0.640000000000001,0.0137960806102988
CDLS,4,18-21 °C,0.75 g/L,1.18831414144099,18.86,2.0784,0.640000000000001,0.0137960806102988
CLPS,4,18-21 °C,0.75 g/L,1.06884590367072,18.86,2.0784,0.640000000000001,0.0130831295813328
CLPS,4,18-21 °C,0.75 g/L,1.0786976553168,18.86,2.0784,0.640000000000001,0.0130831295813328
CLPS,4,18-21 °C,0.75 g/L,1.44193090699414,18.86,2.0784,0.640000000000001,0.0130831295813328
CP,2,22-25 °C,0.01 g/L,2.67577225934674,22,0,1.5,0.553165252982362
CP,2,22-25 °C,0.01 g/L,2.4728424559196,22,0,1.5,0.553165252982362
CP,2,22-25 °C,0.01 g/L,2.05852342256953,22,0,1.5,0.553165252982362
CS,2,22-25 °C,0.01 g/L,3.78232410512978,22.46,0.423200000000002,1.04,0.356686181141717
CS,2,22-25 °C,0.01 g/L,2.26356180166152,22.46,0.423200000000002,1.04,0.356686181141717
CS,2,22-25 °C,0.01 g/L,2.68014265586836,22.46,0.423200000000002,1.04,0.356686181141717
DS,2,22-25 °C,0.01 g/L,3.22588758914801,22.46,0.423200000000002,1.04,42.7968407285532
DS,2,22-25 °C,0.01 g/L,3.04756499925898,22.46,0.423200000000002,1.04,42.7968407285532
DS,2,22-25 °C,0.01 g/L,2.90189053425439,22.46,0.423200000000002,1.04,42.7968407285532
CDP,3,22-25 °C,0.01 g/L,2.72905316618794,22,0,1.5,0.916794848326949
CDP,3,22-25 °C,0.01 g/L,1.75328778724615,22,0,1.5,0.916794848326949
CDP,3,22-25 °C,0.01 g/L,2.69831471298023,22,0,1.5,0.916794848326949
DLS,3,22-25 °C,0.01 g/L,2.12984527972151,22.3066666666667,0.282133333333334,1.19333333333333,0.365339412794983
DLS,3,22-25 °C,0.01 g/L,2.48671108954234,22.3066666666667,0.282133333333334,1.19333333333333,0.365339412794983
DLS,3,22-25 °C,0.01 g/L,2.91859850878378,22.3066666666667,0.282133333333334,1.19333333333333,0.365339412794983
CDL,3,22-25 °C,0.01 g/L,3.10053956874018,22,0,1.5,0.546902535519505
CDL,3,22-25 °C,0.01 g/L,3.83337976399562,22,0,1.5,0.546902535519505
CDL,3,22-25 °C,0.01 g/L,2.89354376736886,22,0,1.5,0.546902535519505
