"file","mean.dens.ml","date","species","temperature","replicate","sample_ID","magnification","biomass","day","log_biomass"
"20260126_002",25.63,"2026-01-26","D","T15",3,"T15_D_3",2.5,6.56842439893966e-06,1,-5.18253879435344
"20260126_003",25.63,"2026-01-26","S","T15",1,"T15_S_1",2.5,1.51755165270919e-06,1,-5.81885651797606
"20260126_004",49.61968,"2026-01-26","P","T15",2,"T15_P_2",2.5,3.51537375308755e-05,1,-4.45402849417919
"20260126_005",65.40776,"2026-01-26","D","T15",1,"T15_D_1",2.5,1.05122487553685e-05,1,-4.97830437078604
"20260126_006",118.71816,"2026-01-26","T","T15",1,"T15_T_1",2.5,1.13577726892664e-05,1,-4.94470682739276
"20260126_007",34.0297478991597,"2026-01-26","C","T15",2,"T15_C_2",2.5,6.48469949161483e-06,1,-5.1881101448162
"20260126_008",25.63,"2026-01-26","C","T15",1,"T15_C_1",2.5,1.66520587176238e-05,1,-4.77853206639594
"20260126_009",41.41808,"2026-01-26","P","T15",1,"T15_P_1",2.5,6.05842618329231e-05,1,-4.2176401792465
"20260126_010",214.06176,"2026-01-26","L","T15",3,"T15_L_3",2.5,4.19388513290304e-05,1,-4.37738346867981
"20260126_011",76.89,"2026-01-26","L","T15",1,"T15_L_1",2.5,1.34494556007329e-05,1,-4.87129529442608
"20260126_012",31.98624,"2026-01-26","C","T15",3,"T15_C_3",2.5,1.48688975645494e-05,1,-4.82772123049498
"20260126_014",97.59904,"2026-01-26","T","T15",2,"T15_T_2",2.5,9.20376894671996e-06,1,-5.03603429248319
"20260126_016",102.52,"2026-01-26","T","T15",3,"T15_T_3",2.5,9.99645911288377e-06,1,-5.00015380600565
"20260126_017",45.92896,"2026-01-26","D","T15",2,"T15_D_2",2.5,1.25820203824501e-05,1,-4.90024961560798
"20260126_018",51.26,"2026-01-26","L","T15",2,"T15_L_2",2.5,1.02578821726943e-05,1,-4.9889422937712
"20260126_021",76.89,"2026-01-26","D","T18",2,"T18_D_2",2.5,1.43132628605149e-05,1,-4.84426135290761
"20260126_022",25.63,"2026-01-26","P","T18",2,"T18_P_2",2.5,4.28943577762169e-06,1,-5.36759983014177
"20260126_023",80.58072,"2026-01-26","L","T18",2,"T18_L_2",2.5,1.83158121869951e-05,1,-4.73717381844036
"20260126_025",290.33664,"2026-01-26","T","T18",3,"T18_T_3",2.5,2.11671308617749e-05,1,-4.67433800524673
"20260126_026",131.63568,"2026-01-26","C","T18",3,"T18_C_3",2.5,3.95191059288351e-05,1,-4.40319288935176
"20260126_028",179.41,"2026-01-26","L","T18",1,"T18_L_1",2.5,3.15227683737318e-05,1,-4.50137564915708
"20260126_029",25.63,"2026-01-26","C","T18",2,"T18_C_2",2.5,1.49467584094474e-07,1,-6.82545298510129
"20260126_031",25.63,"2026-01-26","C","T18",1,"T18_C_1",2.5,7.68179675626953e-06,1,-5.11453718751168
"20260126_032",86.93696,"2026-01-26","L","T18",3,"T18_L_3",2.5,1.42698554134264e-05,1,-4.84558042726862
"20260126_034",189.25192,"2026-01-26","D","T18",1,"T18_D_1",2.5,5.6739576806527e-05,1,-4.24611390772373
"20260126_035",424.02272,"2026-01-26","T","T18",2,"T18_T_2",2.5,2.77586686627184e-05,1,-4.55660136697439
"20260126_036",177.3596,"2026-01-26","T","T18",1,"T18_T_1",2.5,1.24582823463625e-05,1,-4.90454183078426
"20260126_038",804.57696,"2026-01-26","T","T21",3,"T21_T_3",2.5,4.36834203832617e-05,1,-4.35968336399792
"20260126_039",39.61,"2026-01-26","P","T21",2,"T21_P_2",2.5,5.13946540931556e-05,1,-4.28908205257256
"20260126_040",213.03656,"2026-01-26","L","T21",2,"T21_L_2",2.5,3.47395898186049e-05,1,-4.45917531371184
"20260126_041",51.26,"2026-01-26","C","T21",2,"T21_C_2",2.5,2.17116575875204e-05,1,-4.66330701884715
"20260126_042",753.72704,"2026-01-26","T","T21",2,"T21_T_2",2.5,3.81329704818429e-05,1,-4.41869936274036
"20260126_043",50.64488,"2026-01-26","C","T21",1,"T21_C_1",2.5,2.37699976299232e-05,1,-4.62397086157478
"20260126_045",300.58864,"2026-01-26","L","T21",3,"T21_L_3",2.5,5.65440235523971e-05,1,-4.24761329127573
"20260126_046",343.442,"2026-01-26","T","T21",1,"T21_T_1",2.5,1.68046700986707e-05,1,-4.77457000897452
"20260126_047",271.26792,"2026-01-26","L","T21",1,"T21_L_1",2.5,6.02003272317423e-05,1,-4.2204011480353
