"file","date","composition_name","temp_series","replicate","sample_ID","magnification","predict_spec","mean.dens.ml","biomass","day"
"20260212_001",2026-02-12,"DLPT","TS1",3,"DLPT_TS1_3",2.5,"D",955.28136,4.1080272367153e-05,1
"20260212_001",2026-02-12,"DLPT","TS1",3,"DLPT_TS1_3",2.5,"L",94.52344,4.9602161872027e-06,1
"20260212_001",2026-02-12,"DLPT","TS1",3,"DLPT_TS1_3",2.5,"P",354.92424,9.28043006743238e-05,1
"20260212_001",2026-02-12,"DLPT","TS1",3,"DLPT_TS1_3",2.5,"T",488.20024,1.05369915680377e-05,1
"20260212_002",2026-02-12,"LPT","TS1",1,"LPT_TS1_1",2.5,"L",1752.68192,5.74078560319092e-05,1
"20260212_002",2026-02-12,"LPT","TS1",1,"LPT_TS1_1",2.5,"P",537.40984,0.00012462089333121,1
"20260212_002",2026-02-12,"LPT","TS1",1,"LPT_TS1_1",2.5,"T",1112.95712,2.52526298065988e-05,1
"20260212_003",2026-02-12,"DLPT","TS1",2,"DLPT_TS1_2",2.5,"D",1576.14248,5.34108185803956e-05,1
"20260212_003",2026-02-12,"DLPT","TS1",2,"DLPT_TS1_2",2.5,"L",309.81544,6.75739067642496e-06,1
"20260212_003",2026-02-12,"DLPT","TS1",2,"DLPT_TS1_2",2.5,"P",159.9312,4.30178659926978e-05,1
"20260212_003",2026-02-12,"DLPT","TS1",2,"DLPT_TS1_2",2.5,"T",401.26328,5.10858520187215e-06,1
"20260212_004",2026-02-12,"CD","TS1",3,"CD_TS1_3",2.5,"C",1244.38776,0.00012221872571076,1
"20260212_004",2026-02-12,"CD","TS1",3,"CD_TS1_3",2.5,"D",1482.84928,6.29244934650732e-05,1
"20260212_005",2026-02-12,"CLT","TS1",1,"CLT_TS1_1",2.5,"C",1032.3764,8.23174394552253e-05,1
"20260212_005",2026-02-12,"CLT","TS1",1,"CLT_TS1_1",2.5,"L",614.0948,2.58476254539304e-05,1
"20260212_005",2026-02-12,"CLT","TS1",1,"CLT_TS1_1",2.5,"T",665.76488,1.8813606296735e-05,1
"20260212_006",2026-02-12,"DPT","TS1",3,"DPT_TS1_3",2.5,"D",1394.68208,5.59532596644045e-05,1
"20260212_006",2026-02-12,"DPT","TS1",3,"DPT_TS1_3",2.5,"P",1057.39128,0.0002139195715996,1
"20260212_006",2026-02-12,"DPT","TS1",3,"DPT_TS1_3",2.5,"T",776.89656,1.48108278079072e-05,1
"20260212_007",2026-02-12,"CLT","TS1",2,"CLT_TS1_2",2.5,"C",874.29056,7.44282249788985e-05,1
"20260212_007",2026-02-12,"CLT","TS1",2,"CLT_TS1_2",2.5,"L",573.49688,2.61652317741839e-05,1
"20260212_007",2026-02-12,"CLT","TS1",2,"CLT_TS1_2",2.5,"T",751.67664,2.37188069585006e-05,1
"20260212_008",2026-02-12,"CDLP","TS1",2,"CDLP_TS1_2",2.5,"C",650.38688,6.50563429674088e-05,1
"20260212_008",2026-02-12,"CDLP","TS1",2,"CDLP_TS1_2",2.5,"D",2245.39304,8.15776973901997e-05,1
"20260212_008",2026-02-12,"CDLP","TS1",2,"CDLP_TS1_2",2.5,"L",391.83144,1.01623943745328e-05,1
"20260212_008",2026-02-12,"CDLP","TS1",2,"CDLP_TS1_2",2.5,"P",642.18528,0.00013947770794101,1
"20260212_009",2026-02-12,"PT","TS1",1,"PT_TS1_1",2.5,"P",695.90576,0.00015359695312599,1
"20260212_009",2026-02-12,"PT","TS1",1,"PT_TS1_1",2.5,"T",1266.73712,1.73179234656686e-05,1
"20260212_010",2026-02-12,"LPT","TS1",2,"LPT_TS1_2",2.5,"L",2066.59816,6.30237354328931e-05,1
"20260212_010",2026-02-12,"LPT","TS1",2,"LPT_TS1_2",2.5,"P",496.60688,9.99528720387288e-05,1
"20260212_010",2026-02-12,"LPT","TS1",2,"LPT_TS1_2",2.5,"T",1084.6616,2.62796579153749e-05,1
"20260212_011",2026-02-12,"CDLT","TS1",3,"CDLT_TS1_3",2.5,"C",732.19784,5.6692812128678e-05,1
"20260212_011",2026-02-12,"CDLT","TS1",3,"CDLT_TS1_3",2.5,"D",746.55064,3.27182895495228e-05,1
"20260212_011",2026-02-12,"CDLT","TS1",3,"CDLT_TS1_3",2.5,"L",123.22904,4.12312774092067e-06,1
"20260212_011",2026-02-12,"CDLT","TS1",3,"CDLT_TS1_3",2.5,"T",497.63208,1.35065272270752e-05,1
"20260212_012",2026-02-12,"DLPT","TS1",1,"DLPT_TS1_1",2.5,"D",2074.79976,7.29026382040169e-05,1
"20260212_012",2026-02-12,"DLPT","TS1",1,"DLPT_TS1_1",2.5,"L",273.11328,4.78337233286908e-06,1
"20260212_012",2026-02-12,"DLPT","TS1",1,"DLPT_TS1_1",2.5,"P",797.40056,0.000174105619128,1
"20260212_012",2026-02-12,"DLPT","TS1",1,"DLPT_TS1_1",2.5,"T",353.694,8.50498237904802e-06,1
