"composition","richness","temperature","nutrients","CV"
"CL",2,"18-21 °C","0.01 g/L",3.36524561596495
"CL",2,"18-21 °C","0.01 g/L",2.71416292079194
"CL",2,"18-21 °C","0.01 g/L",2.27278590594176
"DS",2,"18-21 °C","0.01 g/L",2.37561132769485
"DS",2,"18-21 °C","0.01 g/L",2.86585430630389
"DS",2,"18-21 °C","0.01 g/L",3.00389145335652
"DP",2,"18-21 °C","0.01 g/L",2.73655159124308
"DP",2,"18-21 °C","0.01 g/L",1.58061749432508
"DP",2,"18-21 °C","0.01 g/L",2.43766144784612
"CLS",3,"18-21 °C","0.01 g/L",2.11300810887413
"CLS",3,"18-21 °C","0.01 g/L",1.82719264352857
"CLS",3,"18-21 °C","0.01 g/L",2.60591779097274
"CLP",3,"18-21 °C","0.01 g/L",1.94798546295679
"CLP",3,"18-21 °C","0.01 g/L",1.59824200062062
"CLP",3,"18-21 °C","0.01 g/L",2.42778344166245
"DPS",3,"18-21 °C","0.01 g/L",1.40243637297177
"DPS",3,"18-21 °C","0.01 g/L",1.88613152179273
"DPS",3,"18-21 °C","0.01 g/L",1.45071337562093
"CDLS",4,"18-21 °C","0.01 g/L",3.04855432106976
"CDLS",4,"18-21 °C","0.01 g/L",2.66151794021562
"CDLS",4,"18-21 °C","0.01 g/L",2.0837889721686
"CLPS",4,"18-21 °C","0.01 g/L",2.18502622609186
"CLPS",4,"18-21 °C","0.01 g/L",1.32321340873455
"CLPS",4,"18-21 °C","0.01 g/L",1.53842117068581
"CDPS",4,"18-21 °C","0.01 g/L",1.70560158824518
"CDPS",4,"18-21 °C","0.01 g/L",1.73780282539652
"CDPS",4,"18-21 °C","0.01 g/L",1.85110472296352
"CD",2,"18-21 °C","0.35 g/L",1.47443970624788
"CD",2,"18-21 °C","0.35 g/L",1.97491790212446
"CD",2,"18-21 °C","0.35 g/L",1.58902669511554
"DL",2,"18-21 °C","0.35 g/L",1.02241543316078
"DL",2,"18-21 °C","0.35 g/L",0.936730503608301
"DL",2,"18-21 °C","0.35 g/L",0.92120092276159
"LP",2,"18-21 °C","0.35 g/L",1.23134118521676
"LP",2,"18-21 °C","0.35 g/L",1.0651814280804
"LP",2,"18-21 °C","0.35 g/L",1.23222429816229
"CDS",3,"18-21 °C","0.35 g/L",1.71066369072779
"CDS",3,"18-21 °C","0.35 g/L",1.42647248583218
"CDS",3,"18-21 °C","0.35 g/L",1.6482151813029
"DLS",3,"18-21 °C","0.35 g/L",1.77431999927707
"DLS",3,"18-21 °C","0.35 g/L",1.51025045958374
"DLS",3,"18-21 °C","0.35 g/L",1.44108286429539
"CLP",3,"18-21 °C","0.35 g/L",1.27509897804443
"CLP",3,"18-21 °C","0.35 g/L",1.65898568397632
"CLP",3,"18-21 °C","0.35 g/L",1.16853411493275
"CDPS",4,"18-21 °C","0.35 g/L",1.3297315137921
"CDPS",4,"18-21 °C","0.35 g/L",1.38402129247741
"CDPS",4,"18-21 °C","0.35 g/L",0.92414100832263
"CDLS",4,"18-21 °C","0.35 g/L",1.21945236921799
"CDLS",4,"18-21 °C","0.35 g/L",1.49255742747102
